证券代码,证券简称,营收区域结构
000711.SZ,京蓝科技,西北地区:47.03%;华东地区:23.07%;华北:17.09%;华南:7.13%;西南地区:3.52%;华中地区:2.02%;东北地区:0.14%
000712.SZ,锦龙股份,总部:67.83%;期货子公司:21.56%;机构化:10.37%;广东:4.24%;辽宁:2.01%;上海:1.65%;北京:0.73%;江苏:0.35%;湖北:0.29%;浙江:0.24%;私募投资子公司:0.14%;福建:0.09%;山东:0.05%;四川:0.05%;重庆:0.04%;河南:0.02%;黑龙江:0.02%;湖南:0.01%;吉林:0.01%;内蒙古:0.01%;抵消(地区):-9.72%
000713.SZ,丰乐种业,国内:82.55%;国外:17.45%
000715.SZ,中兴商业,辽宁:96.03%;其他业务(地区):3.97%
000716.SZ,黑芝麻,广西区外:80.49%;广西:19.51%
000717.SZ,韶钢松山,广东:91.89%;省外:7.04%;境外:1.07%
000718.SZ,苏宁环球,南京:79.39%;芜湖:12.54%;吉林:3.71%;上海:2.66%;宜兴:0.73%;其他(地区):0.68%;无锡:0.28%
000719.SZ,中原传媒,国内:96.25%;其他业务(地区):3.47%;国外:0.28%
000720.SZ,新能泰山,江苏省外:51.56%;江苏省内:48.44%
000721.SZ,西安饮食,西北:92.11%;其他业务(地区):7.89%
000722.SZ,湖南发展,湖南:99.9%;省外:0.1%
000723.SZ,美锦能源,华北:82.97%;华东:7.08%;东北:5.54%;华南:3.87%;华中:0.33%;西北地区:0.19%;其他业务(地区):0.02%
000725.SZ,京东方A,中国:51.22%;亚洲其他:38.8%;美洲:5.96%;欧洲:3.89%;其他:0.14%
000726.SZ,鲁泰A,港澳台及海外:57.5%;国内:35.99%;其他地区:6.52%
000727.SZ,*ST东科,国内:63.64%;国外:36.36%
